id,Hochdeutsch,IPA_Dialekt,methods,example_sentence,example_ipa_audio,example_ipa_reference,comment
195,meinung,dɛs,positional,"Wir sind der Meinung, dass das zu einer etwas kleindlichen Krämerei führt.",meːɾ zɪŋtə maɪnɪk dɛs zɑz zoːnɛrɪçliːnlɪçərkɾɛmɪraɪ fyːɾt,viːɾ zɪnt dɛɾ maɪnʊŋ das das tsuː aɪnɜ ɛtvɑːs klaɪntlɪçən kɾɛːmeːraɪ fyːɾt,Meinung -> maɪnɪk
197,momentan,mɔmɪn,positional,Momentan bewegen wir uns bei geplanten 13.9 Mio. Franken für 2019.,mɔmɪn tɑːn pɛɾvɪkətn lɛrɔøs diː blaːm dɛɾ dɾiːtsə kɔmən nyːm miːliːoːnə frankɛɾ fyːɾtsvaɪdoː ziːgɔnyːntsə,moːməntɑːn bəveːɡən viːɾ ʊns baɪ ɡəplantən dɾaɪtseːn nɔøn mɪoː fraŋkən fyːɾ tsvaɪ taʊzənt nɔøntseːn,Momentan -> mɔmɪn tɑːn
201,rolle,diː,positional,Schwarz spielt für einmal eine eher untergeordnete Rolle.,ʃvaɾts ʃpyːt vɛɾ aɪmɑːl eːɾ aɪn ʊntɛgɑːdən diː roːlə,ʃvaɾts ʃpiːlt fyːɾ aɪnmɑːl aɪnə eːɜ ʊntɜɡəɔɾdnətə rɔlə,Rolle -> roːlə
203,seither,ziː,positional,Seither bin ich mit diesem Spiel verbunden.,ziː taɪn biːn daɪmʃpiːl fɛɾbʊndɜ,zaɪtɜ bɪn ɪç mɪt diːzəm ʃpiːl fɛɾbʊndən,Seither -> ziː taɪn
208,stadtrat,diː,positional,Ich danke dem Stadtrat für die ausführliche Beantwortung unserer Anträge.,ɪç tankərə deːm ʃtatraʊt fyːɾ diː ʊsfyːɾlɪçə biːandɾʊtiːk ʏsərə ɑːɾtvɛɾk,ɪç daŋkə deːm ʃtatɾɑːt fyːɾ diː aʊsfyːɾlɪçə bəantvɔɾtʊŋ ʊnzərɜ antɾɛːɡə,Stadtrat -> ʃtatraʊt
209,tag,fɔm,positional,Schliesslich möchten sie am schönsten Tag ihres Lebens umwerfend aussehen.,ɪçtəlɪç maɪçt ɪnəm hœntʃə tɑːg fɔm lɛbə ʊmaɪr fɔnʊsgə,ʃliːslɪç mœçtən ziː am ʃøːnstən tɑːk iːrəs leːbəns ʊmvɛɾfənt aʊszeːən,tag -> tɑːg
211,teilweise,ɪn,positional,Das geringe Gewicht war teilweise den sehr kompakten Abmessungen zu verdanken.,ɪs gɾɪŋə gʊvɪçt ɪn ɪn ɪn dɑːl vɪs dɛɾ zeːɾ kɔmpaxtɛɾ ɑːbmɛsɪgə tsvɛɾt ankɛ,das ɡərɪŋə ɡəvɪçt vɑːɾ taɪlvaɪzə deːn zeːɾ kɔmpaktən apmɛsʊŋən tsuː fɛɾdaŋkən,
216,vielmehr,fiːl,positional,Sie sei vielmehr aus einem spontanen Impuls heraus entstanden.,ɪs aɪɾət fiːl meːɪ ʊs ɪm ʃpɔntɑːnə ɪm boːlsuːzə ɪn ɛn ʃtandə,ziː zaɪ fiːlmeːɾ aʊs aɪnəm ʃpɔntɑːnən ɪmpuːls hɛraʊs ɛntʃtandən,vielmehr -> fiːl meːɪ
217,war,ɪʃ,positional,War das in letzter Zeit anders?,ɪʃ ɑːsiːltʃtɔ tsiːt ɑːmkɔːʃ gsɪ,vɑːɾ das ɪn lɛtstɜ tsaɪt andɜs,War -> ɪʃ gsɪ
224,wieder,dɛɾ,positional,Er habe in der Vergangenheit immer wieder andere Religionen beleidigt.,ɛɾ hɛltə fɛɾgɑŋəhaɪt iːmɔ viːdɛɾ andərə dɛɾ gɔnə pɛlɾətiːkt,ɛɾ hɑːbə ɪn dɛɾ fɛɾɡaŋənhaɪt ɪmɜ viːdɜ andərə reːlɪɡioːnən bəlaɪdɪçt,wieder -> viːdɛɾ
234,gab,hɛt,ibm,"Soviel Einigkeit wie jetzt, gab es seit längerer Zeit nicht mehr.",zoːfiːl aɪnɪkaɪt viːɾiːt hɛt zaɪt lɛŋɛrɑːtsaɪtɛ nyːmə geː,zoːviːl aɪnɪɡkaɪt viː jɛtst ɡɑːp ɛs zaɪt lɛŋərɜ tsaɪt nɪçt meːɾ,gab -> hɛt geː
235,konnte,hɛt,ibm,Und er konnte sein Verlangen nicht mehr länger zurückhalten.,ʊndə hɛt ziːs fɔlɛŋə nyːmə meːlɛŋɔ tsuː kɑːltərən,ʊnt ɛɾ kɔntə zaɪn fɛɾlaŋən nɪçt meːɾ lɛŋɜ tsuːrʏkhaltən,
232,wurde,ɪn,ibm,Dafür wurde er mit der Fields-Medaille ausgezeichnet.,dɑːrdɛ fyːɾ ɪn ɪn dɛn fiːlt mɪdɛlɾiː aʊstsaɪçnət vɑːrdən,dɑːfyːɾ vʊɐdə ɛɾ mɪt dɛɾ fiːltsmeːdalɪə aʊsɡətsaɪçnət,
