Hochdeutsch,IPA_Dialekt,Anzahl
dass,dɛs,5
der,ɛs,5
die,diːɾ,5
der,də,5
alles,ɑːləs,5
zeit,tsiːt,5
das,tas,5
noch,nɔɾ,5
viele,fiːl,5
dieser,dɛɾ,5
der,foːɾ,4
mit,miː,4
sie,tsi,4
bereits,bəraɪts,4
nun,jɛts,4
wird,vɛɾt,4
das,ɪtəs,4
sich,sɪç,4
in,aɪ,4
sind,ziːn,4
nicht,nɪçt,4
auf,uːf,4
andere,andərə,4
der,tə,4
zu,tsuː,4
was,vas,4
sich,hɛt,4
aber,ɑːbɑː,4
alles,ɑːl,4
wir,ɪn,4
ein,dɛs,4
ist,iʃ,4
diesen,dɛɾ,4
für,fiːɾ,4
jetzt,jɛtst,4
das,ɑːs,4
möchte,mɛçt,4
doch,dɑːx,4
in,ɪm,4
ich,iː,4
vor,fɔɾ,4
wir,meːr,4
den,ɪn,4
wir,viːɾ,4
ihn,ɪn,4
man,mɛ,4
das,daɪs,4
für,fɛɾ,4
jetzt,ɪt,4
gibt,giːt,4
eine,ɛs,4
das,ɑs,4
wir,mɪɾ,4
dem,ɛm,4
der,dɛn,4
er,ɛr,4
das,dɑːs,4
haben,hɛnd,4
immer,ɪm,4
von,fɔ,4
die,ɪt,4
der,ɛn,4
das,tɛs,4
hat,hɛlt,4
liegt,liːt,4
zudem,tsuːdɛm,4
sich,zɪçt,4
seit,ziː,4
für,fyːɾt,4
wird,viːɾts,4
seine,ziːn,3
wie,viː,3
neue,nɔø,3
und,ɪn,3
einen,ɪn,3
dieses,das,3
sich,ziːx,3
es,diː,3
doch,dɔxt,3
danach,nɔx,3
dem,ɛn,3
für,fœɾ,3
doch,tɔx,3
der,deːm,3
du,du,3
könnten,kœntə,3
ist,ɪʃən,3
gilt,gɪlt,3
in,ɪt,3
dies,das,3
von,fɔm,3
wir,miːr,3
dabei,dɛɾ,3
es,æz,3
nicht,zɪç,3
hatte,hɛt,3
das,daɪ,3
haben,hɛm,3
dabei,deːbiː,3
haben,hɪnt,3
ist,ɛɾ,3
einem,mɪt,3
nicht,dɛɾ,3
hat,hɛtə,3
dafür,ɪnə,3
die,fɔn,3
genau,knaʊ,3
hat,ɪn,3
auch,daʊ,3
viele,fiːlɪ,3
mit,mɪk,3
wir,vɛɾdə,3
dort,dœt,3
können,dɛɾ,3
finde,fɪnt,3
das,ɑz,3
ein,ɛɾ,3
auf,dɛɾ,3
sein,ziː,3
werden,vɛɾdət,3
millionen,miːliːoːnə,3
hat,haɪt,3
alle,ɑːli,3
nicht,nøːd,3
dass,dɑs,3
keinen,kaɪn,3
die,fɔɾ,3
uns,yːs,3
nur,no,3
ist,ɪz,3
die,deːm,3
die,fɔr,3
in,zɪnt,3
jetzt,jɛts,3
das,dɑs,3
dafür,fyːɾ,3
die,tɛɾ,3
sein,siː,3
ich,nɪç,3
der,fɔn,3
wir,meː,3
gemeinderat,dɛɾ,3
aber,ɑːbə,3
die,aɪn,3
beiden,baɪdə,3
uns,ɪs,3
gut,guːɾt,3
dieser,deː,3
in,dɛɾ,3
eine,ɛn,3
eine,aɪ,3
wäre,vɛɾ,3
bis,bɪs,3
in,ɪtəm,3
sich,hɛnt,3
sind,zɪm,3
es,ɪz,3
des,fʊm,2
der,ɛt,2
muss,ɛs,2
der,fɔl,2
hier,dɑː,2
auch,aʊfə,2
umgang,ʊŋgaŋ,2
haben,zɪç,2
er,ɛɾmə,2
diese,ɪɾ,2
in,ɪ,2
nicht,diː,2
und,ʊntə,2
ist,ɔːx,2
nicht,nɛd,2
die,ʊnt,2
darf,dɛɾ,2
vielleicht,fiːlɪçt,2
ich,i,2
die,ɪç,2
entweder,ɛnt,2
dem,ɪn,2
hätte,hɪt,2
auf,aʊf,2
so,soːx,2
fünf,fyːf,2
meinung,dɛs,2
werden,vɛɾdən,2
heute,hyːd,2
alles,ɑːlɛs,2
die,nɔøə,2
als,ɛs,2
muss,mʊs,2
die,tsiːl,2
wenn,vɛn,2
eine,dɛs,2
bei,biːdə,2
von,fɔɾ,2
würde,viːɾ,2
und,diː,2
nicht,nɪç,2
die,aɪnə,2
nicht,nyːt,2
der,tɛ,2
sein,ziːn,2
zum,tsɔm,2
die,fɔ,2
ich,ɪɐ,2
der,foː,2
der,nɔø,2
werden,dɛɾ,2
das,tɛ,2
aber,dɑs,2
in,aɪtə,2
möglichkeit,kaɪt,2
einfach,aɪvɑːx,2
und,ʊŋ,2
hat,dɛɾ,2
er,ɛl,2
muss,muːɛs,2
eine,aɪt,2
hat,hɛɾ,2
so,soː,2
wir,maɪn,2
wieder,dɛɾ,2
zum,tsum,2
sind,ɪntə,2
sie,ziːç,2
mit,deːm,2
gut,zɪç,2
die,baɪdə,2
dieser,dɛɾɛ,2
sich,ziːk,2
sich,ɛn,2
deshalb,dɾʊm,2
anderer,andərə,2
können,kœntə,2
hat,zɪç,2
hoffe,hoːfə,2
auch,aʊs,2
sie,ziːt,2
den,dɛn,2
am,ɑːm,2
den,ʊnt,2
ich,ɪ,2
aber,ɑːbɑːt,2
man,maʊ,2
den,fʊɐ,2
und,ʊm,2
ist,i,2
in,ɪs,2
anträge,dɛɾ,2
bundesrat,bʊndəs,2
wird,viːɾd,2
bisher,piːz,2
zürich,tsyːrɪ,2
an,aɪdə,2
fdp,peː,2
grossen,gɾoːsə,2
hier,dɑːɾ,2
sie,ɪz,2
tag,fɔm,2
zur,tsuː,2
hat,ʊnt,2
das,hɛts,2
ist,iː,2
noch,noː,2
dieses,dɛs,2
geschäft,gʃɛft,2
man,bɪm,2
teilweise,ɪn,2
in,ɪtə,2
für,viːɾt,2
habe,hɛt,2
antrag,ɑːtɾɑːk,2
auch,ɑːr,2
davon,foː,2
vier,fiːɾ,2
sicht,sɪçt,2
das,dɑː,2
heute,hyːt,2
ist,dɛs,2
davon,fɔr,2
wie,miː,2
das,tɐ,2
stadtrat,statɾɑːt,2
die,dɛs,2
wir,meːrə,2
kommt,kʊnt,2
das,tsʊm,2
dies,ɛs,2
war,ɪç,2
mit,meːt,2
in,ʊnt,2
den,diː,2
die,ɪm,2
ich,iːx,2
die,ɪst,2
soll,zøːl,2
geht,kɔt,2
denn,deːn,2
ich,iːr,2
spass,ʃpas,2
auf,ɔft,2
nicht,nɔt,2
es,aʊs,2
knowhow,noʊ,2
des,dɛs,2
macht,maxt,2
ist,ɑːləs,2
dies,ɑs,2
und,ʊnd,2
dann,daɪn,2
inzwischen,ɪn,2
wollen,vɛnt,2
auch,mɪt,2
mit,dɛɾ,2
ein,als,2
platz,blats,2
sie,ɛm,2
die,vɔɾ,2
tatsächlich,dɑːtsɛçlɪç,2
sehr,zɛɾ,2
vielen,fiːlə,2
heisst,haɪst,2
alles,ɑləs,2
wir,meɪɾ,2
die,hɛt,2
weiss,vaɪs,2
dabei,tə,2
so,soʊ,2
ist,iʃɛs,2
ich,ɪl,2
den,ɪnə,2
also,ɑːlsə,2
sich,ɪç,2
herbst,hɛɾpʃt,2
zwei,tsvaɪ,2
ist,dɑː,2
der,nɔx,2
mit,miːtən,2
in,zɪç,2
das,da,2
sehr,seːɾ,2
kommt,xʊnt,2
dieses,ɛs,2
muss,muːɾ,2
sie,siː,2
zürich,tsyːrə,2
ist,ɪstə,2
rolle,diː,2
eingehalten,iː,2
aber,ɑːbɛɾ,2
für,deːm,2
diese,ɪn,2
werde,viːɾ,2
die,dɛn,2
in,ɪdɛm,2
weiteren,viːtərə,2
diesem,dɛm,2
das,ɪç,2
das,fɔn,2
eine,miːɾ,2
war,ɪʃ,2
eingereicht,iːgɾaɪçt,2
beispielsweise,viːs,2
ein,ɛnt,2
die,diːn,2
nicht,vɛɾdə,2
gibt,giːts,2
zeigt,tsaɪkt,2
haben,hɛn,2
was,la,2
in,i,2
für,diːɾ,2
ich,ɪs,2
vor,foːr,2
dabei,biː,2
dass,ɑs,2
werde,vɛɾ,2
nicht,ɪn,2
auf,fɔm,2
ist,aɪn,2
wir,mɪt,2
gemeinderat,fyːɾ,2
für,dɛɾ,2
ein,ɪm,2
im,fɔm,2
fraktion,fraktsɪoːn,2
ist,aʊs,2
momentan,mɔmɪn,2
der,ʊntɛɾ,2
unsere,yːz,2
ist,iːʃ,2
werde,vɛɾd,2
hat,ɛt,2
diesem,deːm,2
am,ɑm,2
aber,das,2
fragen,frɑːgən,2
ist,diː,2
sicht,zɪçt,2
wissen,vyːsə,2
die,ɛs,2
mein,mɪn,2
irgendwie,viːɾ,2
die,tə,2
etwas,øːpɪs,2
alle,alɪ,2
in,iːdə,2
seit,ziːd,2
der,das,2
stelle,ʃtɛl,2
ihnen,ɪnə,2
zu,tsuːɾ,2
die,lɪŋ,2
dem,mɪt,2
am,ɛm,2
mich,mɪç,2
dieses,diːzəs,2
gemeinderat,kmaɪndɾɔːt,2
dem,ʊm,2
im,iːm,2
von,fɔn,2
für,fɔr,2
mehr,meːɾ,2
bis,bis,2
bei,viː,2
ist,ɪnst,2
von,fɔr,2
allem,diː,2
das,byːtʃə,2
auch,aʊtə,2
am,aɪm,2
die,fyːɾ,2
besonders,pzʊndəs,2
für,fyːr,2
thema,teːmɑː,2
meisten,maɪʃtə,2
viele,fiːli,2
eine,hɛt,2
auch,ɑːl,2
unter,ʊntɜ,2
in,fɔ,2
im,ɛm,2
weil,vɪl,2
sich,zɪçtə,2
dieser,deːnə,2
welche,veːli,2
vielmehr,fiːl,2
liegen,liːkət,2
muss,mɔs,2
gut,kuːɾt,2
wir,meːɾn,2
ein,ɪs,2
ist,ɪt,2
der,fɔd,2
liegt,liːk,2
der,nɔɪə,2
der,ɔft,2
stadtrat,diː,2
sollen,sølə,2
auf,diː,2
da,dɑːx,2
einen,deːn,2
diese,diːr,2
audi,aʊdiː,2
seither,ziː,2
für,fɪr,2
denn,aɪn,2
man,fyːɾ,2
nicht,ʊnt,2
sehr,zeːɾ,2
in,iː,2
wir,me,2
von,fʊɐ,2
hier,dɔː,2
seit,zɪt,2
den,ɛɾ,2
die,ɛsə,2
damals,dɛɾ,2
die,duː,2
wird,ɪn,2
frauen,fraʊə,2
dass,diː,2
wir,mɪə,2
anderen,andərə,2
werden,vɛɾ,2
den,də,2
