HD_Phrase,IPA_Phrase,HD_N,IPA_N,Mapping_Type,Is_Phrase_Mapping,Gemeinsame_Treffer,Occurrence_Count,HD_Haeufigkeit,IPA_Haeufigkeit,HD_Rate,IPA_Rate,PMI,Avg_Position_Distance,Score,Example_Sentence,Example_IPA_Audio,Example_IPA_Reference,Example_Tense,Rank_For_HD_Phrase
zum,tsʊm,1,1,1-1,0,30,30,57,39,0.5263,0.7692,5.3792,0.0637,151.103,Wählen Sie zum Anfangen die tiefere HD-Auflösung.,vɛɾlə tsi tsʊm aɪfɑːnə diː dyːfɔhɑːdə ʊfløːzɪk,vɛːlən ziː tsʊm anfaŋən diː tiːfərə hɑːdeːaʊfløːzʊŋ,Präsens,1
hat,hɛt,1,1,1-1,0,44,44,132,115,0.3333,0.3826,3.1601,0.0535,131.6054,Womit er natürlich recht hat.,vɔmi tɪn ɛn ɑn tøɾɭɪç gərɛçt hɛt,voːmɪt ɛɾ nɑːtyːɾlɪç rɛçt hat,Präsens,1
auch,aʊ,1,1,1-1,0,35,35,223,36,0.157,0.9722,3.749,0.0485,124.8507,Auch die FDP möchte ihre Vertretung weiter ausbauen.,aʊ tɛftɪpeː vøːkiːr efɛtɾɛtɪg vitə uspaʊə,aʊx diː ɛfdeːpeː mœçtə iːrə fɛɾtɾeːtʊŋ vaɪtɜ aʊsbaʊən,Präsens,1
des,fɔm,1,1,1-1,0,30,30,84,58,0.3571,0.5172,4.2472,0.0732,118.0898,Das Pensum des Abteilungsleiters verändert sich nicht.,spɪn tsʊm fɔm ɑp daɪnɪkslaɪtɛrɪtɛr hɛt zɪç nøtfɛ ɛndərət,das pɛnzʊm dɛs aptaɪlʊŋslaɪtɜs fɛɾɛndɜt zɪç nɪçt,Präsens,1
sind,zɪnt,1,1,1-1,0,33,34,145,58,0.2276,0.569,3.5971,0.0341,114.6511,Das sind eindeutige Aufgaben der Abteilungs- und Ressortleitung.,das zɪnt aɪdyːtɪgə gəʊfkɔpə foːdɛ aːptaɪlɪks ʊntrøːsɔːlaɪtɪk,das zɪnt aɪndɔøtɪɡə aʊfɡɑːbən dɛɾ aptaɪlʊŋs ʊnt rɛsɔɾtlaɪtʊŋ,Präsens,1
für die,fyːɾ,2,1,2-1,1,30,30,65,106,0.4615,0.283,3.7472,0.0624,105.4056,Es gäbe sicher lohnenswerte Ziele für die nächsten Jahre.,ɛs gɛp sɪç loːnən tsvɛɾt diː tsiːl fyːɾ diː nɔɾstɛ jɔː,ɛs ɡɛːbə zɪçɜ loːnənsveːɾtə tsiːlə fyːɾ diː nɛçstən jɑːrə,Präsens,1
haben,hɛnt,1,1,1-1,0,24,24,103,46,0.233,0.5217,3.9655,0.0496,90.4522,Und neue Türen haben sich nicht geöffnet.,ʊnt nɔødyːrə hɛnt zɪç nøkəlfnɛt,ʊnt nɔøə tyːrən hɑːbən zɪç nɪçt ɡəœfnət,Perfekt,1
doch,dɔx,1,1,1-1,0,18,18,67,26,0.2687,0.6923,4.994,0.0292,87.2659,Doch deshalb muss keiner auf Luxus und Leistung verzichten.,dɔx dɑːmə mʊs kɛnə flʊtsəl zoːd laɪʃtə diː diː diː zɪçtə,dɔx dɛshalp mʊs kaɪnɜ aʊf lʊksʊs ʊnt laɪstʊŋ fɛɾtsɪçtən,Präsens,1
er,ɛɾ,1,1,1-1,0,29,29,139,76,0.2086,0.3816,3.0817,0.0246,87.1734,"Er hatte 1,5 Promille sowie Kokain im Blut.",ɛɾ hɛt aɪs kɔn vyːn fryːlzə oːviː kɔkɾətən bloːkə,ɛɾ hatə aɪns fʏnf pɾoːmɪlə zoːviː koːkaɪn ɪm bluːt,Präteritum,1
so,zoː,1,1,1-1,0,19,19,88,30,0.2159,0.6333,4.4722,0.0265,82.7181,Natürlich kann man Gas als nicht so schlimm wie andere Energieträger ansehen.,nɑktɪɔːliːk kɑmə gɑːs als nit zoː ʃlim biː andərə ɪnɑːkiːtɾɛːkɑː ɑːlwɑːkɑ,nɑːtyːɾlɪç kan man ɡɑːs als nɪçt zoː ʃlɪm viː andərə eːnɛɾɡiːtɾɛːɡɜ anzeːən,Präsens,1
bereits,bəraɪts,1,1,1-1,0,12,12,37,12,0.3243,1.0,6.3811,0.0359,73.827,Das Geld sei von der CS bereits ausbezahlt worden.,daɪkəltsɪk fɔr dɛɾ tseːrəs bəraɪts hʊstsaɪltpɔɾdən,das ɡɛlt zaɪ fɔn dɛɾ tseːɛs bəraɪts aʊsbətsɑːlt vɔɾdən,Präsens,1
ganz,gants,1,1,1-1,0,11,11,24,12,0.4583,0.9167,6.8801,0.0648,70.7756,Cannabis ist in Bezug auf Psychose nicht ganz ohne.,kɑnɑpɪs ɪn bɪtsuːkɔf pɪsɪxɔsɛ nøk gants ɔnɪ,kanabɪs ɪst ɪn bətsuːk aʊf pzʏçoːzə nɪçt ɡants oːnə,Präsens,1
für die,fyːɾ diː,2,2,2-2,1,14,14,65,17,0.2154,0.8235,5.2881,0.0477,70.5051,Es gäbe sicher lohnenswerte Ziele für die nächsten Jahre.,ɛs gɛp sɪç loːnən tsvɛɾt diː tsiːl fyːɾ diː nɔɾstɛ jɔː,ɛs ɡɛːbə zɪçɜ loːnənsveːɾtə tsiːlə fyːɾ diː nɛçstən jɑːrə,Präsens,2
am,am,1,1,1-1,0,15,15,91,19,0.1648,0.7895,4.7418,0.0425,68.1042,Am Schluss wird er eine ganze Flasche geleert haben.,am xluθ vi atɾeɡants i flɛɾʃiɾ glɛjɾ tɑ,am ʃlʊs vɪɾt ɛɾ aɪnə ɡantsə flaʃə ɡəleːɾt hɑːbən,Futur,1
ab,ap,1,1,1-1,0,10,10,29,10,0.3448,1.0,6.7326,0.0179,66.1185,Sie hielten mich von der Rückkehr nach Argentinien ab.,ɪn halt ɪmiː fɾʏk ʁɛɾ nɔx aɾgɛdiːniː ap,ziː hiːltən mɪç fɔn dɛɾ rʏkeːɾ nɑːx aɾɡəntiːnɪən ap,Präteritum,1
dass,das,1,1,1-1,0,18,20,60,66,0.3,0.2727,3.8092,0.0373,66.0089,"Schon ein paar mal habe ich erwähnt, dass das Potentialrechnungen sind.",tluːs baːmɔl hɔn nɪç ɛvɛnd das dɛs pʊtɛntsɪɑːlrɛçniːgəzɪnt,ʃoːn aɪn pɑːɾ mɑːl hɑːbə ɪç ɛɾvɛːnt das das poːtɛntiːalrɛçnʊŋən zɪnt,Präsens,1
mehr,meː,1,1,1-1,0,14,14,75,22,0.1867,0.6364,4.7097,0.0543,62.3573,Jedes Jahr reisen mehr als 35 Millionen Touristen nach Thailand.,jeːdəs jɑːɾ als meː als fœfətɾɪsk mɪliːɔːnə duː viːɾʃtə ɔftɛɪlɛnt,jeːdəs jɑːɾ raɪzən meːɾ als fʏnf ʊntdɾaɪsɪç mɪljoːnən tuːrɪstən nɑːx taɪlant,Präsens,1
bei,biː,1,1,1-1,0,16,16,85,38,0.1882,0.4211,3.9333,0.0425,60.2604,Bei der ersten Ausgabe wurden die Scheine folgendermassen verteilt.,biː dɛɾ eːɾʃtə ʊsgɑːp zɪnt tʃiːl foːlgənɛɾ maɾseː fɛɾdaɪlt vɔːdɛ,baɪ dɛɾ eːɾstən aʊsɡɑːbə vʊɐdən diː ʃaɪnə fɔlɡəndɜmasən fɛɾtaɪlt,Präteritum,1
aus,ʊs,1,1,1-1,0,13,13,84,17,0.1548,0.7647,4.8112,0.0529,59.2367,"Diese Fördergelder, auch für die Unterführung, stammen aus dem Agloprogramm 2. Generation.",diːl fyːɾtɛgaɪzɛɾ aʊfiːɾt ʊntɪfiːɾiːk stamɛt ʊs dɛm tsaɪt dɛɾ aʊgləpɔgɾɑmtsvaɪtɪgeːnɛɾatsiːɔn,diːzə fœɾdɜɡɛldɜ aʊx fyːɾ diː ʊntɜfyːrʊŋ ʃtamən aʊs deːm aɡlɔpɾɔɡɾam tsvaɪ ɡɛneːratsjoːn,Präsens,1
wie,viːɾ,1,1,1-1,0,15,15,58,50,0.2586,0.3,3.9956,0.0257,58.394,Wie fühlen Sie sich als Entertainer mittleren Alters?,viːɾ vyːlə tsiː ziːx als ɛndɔteːnɔ mɪçlrən ɛltɔs,viː fyːlən ziː zɪç als (en)ɛntəteɪnə(de) mɪtlərən altɜs,Präsens,1
vom,fɔm,1,1,1-1,0,12,12,20,58,0.6,0.2069,4.9956,0.0383,57.652,Wir haben vom DGS sehr viel Goodwill erfahren.,meɑ hænd fɔm dɛkə ɛs sɛrfɪl kʊt wɪl ɛfɑːbɛ,viːɾ hɑːbən fɔm deːɡeːɛs zeːɾ fiːl ɡoːdvɪl ɛɾfɑːrən,Präsens,1
nur,nuːɾ,1,1,1-1,0,11,11,70,13,0.1571,0.8462,5.2203,0.0577,54.1088,Dagegen spricht nicht nur die lange Tradition der US-Autoindustrie.,dɛɾ gɛgɛɾ ʃpɪçmə nuːɾ diː laŋt dɑdɪtsoːn foːɾ dɛɾ uːɾs alpɪtɾoː ɪnduːɾstɾiː,daɡeːɡən ʃpɾɪçt nɪçt nuːɾ diː laŋə tɾɑdiːtsjoːn dɛɾ uːɛsaʊtoːɪndʊstɾiː,Präsens,1
alles,ɑːləs,1,1,1-1,0,9,9,36,10,0.25,0.9,6.2687,0.0487,53.668,Und was darf das alles kosten?,uːnd vɑːs dɛɾ ɔf dɑːs ɑːləs xaʊʃtə,ʊnt vas daɾf das aləs kɔstən,Präsens,1
budget,byːtʃə,1,1,1-1,0,7,7,14,8,0.5,0.875,7.5906,0.0681,49.5156,Dadurch sind diese Kosten im Budget und in der Rechnung ausgewiesen.,dɔɾ tuːrə ziːn kœʃtə ɪn byːtʃə ʊnt diː dɛɾaɪçnɪk oːskvɪsə,dɑːdʊɐç zɪnt diːzə kɔstən ɪm bʊdɡət ʊnt ɪn dɛɾ rɛçnʊŋ aʊsɡəviːzən,Präsens,1
uns,yːs,1,1,1-1,0,9,9,57,10,0.1579,0.9,5.6057,0.0254,49.169,Immer der Spielverderber zu sein macht auch uns keinen Spass.,ɪmɛɾ dɛɾ ʃpɪl fɔr deːɾ pʊtsiː maxt yːs kaɪ ʃpas,ɪmɜ dɛɾ ʃpiːlfɜdɜbɜ tsuː zaɪn maxt aʊx ʊns kaɪnən ʃpas,Präsens,1
dabei,biː,1,1,1-1,0,11,11,35,38,0.3143,0.2895,4.6728,0.0808,47.2471,Dabei sind wir zu keinem vernünftigen Schluss gekommen.,dɛɾ biː zimə tsuː kaɪn fɔnœftɪgə ʃluːs koː,dɑːbaɪ zɪnt viːɾ tsuː kaɪnəm fɛɾnʏnftɪɡən ʃlʊs ɡəkɔmən,Perfekt,1
um,ʊm,1,1,1-1,0,11,11,55,27,0.2,0.4074,4.5138,0.051,47.1206,"Die Prämie für Kinder sinkt hingegen leicht um 0,1 Prozent.",bɾaɪm ɛɾ fɛrɪnt zɪŋkt hɛŋgɛɾgəliːɾxt ʊm nʊlkɾɛm aɪs bɔːtsɛnt,diː pɾɛːmɪə fyːɾ kɪndɜ zɪŋkt hɪnɡeːɡən laɪçt ʊm nʊl aɪns pɾoːtsɛnt,Präsens,1
viel,fiːl,1,1,1-1,0,9,9,30,18,0.3,0.5,5.6837,0.082,46.9597,So viel weiter sind wir inzwischen nicht gekommen.,soː fiːl viːtɛɾ siːm maɪn tsuːiːʃɛ nɔnɪkɾoː,zoː fiːl vaɪtɜ zɪnt viːɾ ɪntsvɪʃən nɪçt ɡəkɔmən,Perfekt,1
mich,mɪç,1,1,1-1,0,9,9,43,14,0.2093,0.6429,5.5269,0.062,46.6602,In der Schweiz gibt es für mich trotzdem auch einen König.,aɪ dɛɾ ʃviːtskiːts fyːɾ mɪç trɔts dɛm aʊən kœnɪç,ɪn dɛɾ ʃvaɪts ɡiːpt ɛs fyːɾ mɪç tɾɔtsdeːm aʊx aɪnən køːnɪç,Präsens,1
dann,dɛn,1,1,1-1,0,13,14,51,59,0.2549,0.2203,3.736,0.062,45.5567,Die Prüfung und Beratung erfolgt dann an der nächsten Sitzung der FGPK.,bɾøːfyːkʊŋ bərɑːtɪgɛrfɔlp dɛn nɪçɛ nɛrʃtə siːt ziːk fɔl dɛr ɛfgeːpɛːkɾɑː,diː pɾyːfʊŋ ʊnt bərɑtʊŋ ɛɾfɔlkt dan an dɛɾ nɛçstən zɪtsʊŋ dɛɾ ɛfɡeːpeːkɑː,Präsens,1
geschäft,gʃɛft,1,1,1-1,0,6,6,10,9,0.6,0.6667,7.6837,0.054,43.6125,Wir haben dieses Geschäft am 13. März 2018 in der FGPK behandelt.,miːɾ hɛnt dɛs gʃɛft ɑːm dɾiːtzɛtə mɛɾts tsvaɪ axtsɛn iːdɛnfgɛːpɛːkɛɾ bəhandlɛt,viːɾ hɑːbən diːzəs ɡəʃɛft am dɾaɪtseːn mɛɾts tsvaɪ taʊzənt axtseːn ɪn dɛɾ ɛfɡeːpeːkɑː bəhandəlt,Perfekt,1
andere,andərə,1,1,1-1,0,8,8,23,21,0.3478,0.381,5.6747,0.0528,42.999,Natürlich kann man Gas als nicht so schlimm wie andere Energieträger ansehen.,nɑktɪɔːliːk kɑmə gɑːs als nit zoː ʃlim biː andərə ɪnɑːkiːtɾɛːkɑː ɑːlwɑːkɑ,nɑːtyːɾlɪç kan man ɡɑːs als nɪçt zoː ʃlɪm viː andərə eːnɛɾɡiːtɾɛːɡɜ anzeːən,Präsens,1
haben sich,hɛnt zɪç,2,2,2-2,1,5,5,7,5,0.7143,1.0,8.7832,0.0489,41.7691,Und neue Türen haben sich nicht geöffnet.,ʊnt nɔødyːrə hɛnt zɪç nøkəlfnɛt,ʊnt nɔøə tyːrən hɑːbən zɪç nɪçt ɡəœfnət,Perfekt,1
macht,maxt,1,1,1-1,0,7,7,19,14,0.3684,0.5,6.3427,0.0719,41.2053,Die heutige Technik macht vieles möglich.,deːhyːddɪk tɛxnɪk maxt fiːləs møːgəlɪç,diː hɔøtɪɡə tɛçnɪk maxt fiːləs møːklɪç,Präsens,1
frau,fraʊ,1,1,1-1,0,5,5,8,5,0.625,1.0,8.5906,0.0459,40.9801,Meine Frau hätte im Café sein können.,mɪni fraʊ hɪt kønən ɪm kafɪsiː,maɪnə fraʊ hɛtə ɪm kafeː zaɪn kœnən,Präsens,1
anderen,andərə,1,1,1-1,0,7,7,16,21,0.4375,0.3333,6.0056,0.0254,40.97,Ihre persönlichen Probleme teilen sie nur ungern mit anderen Menschen.,iːøːpəzøːnɪç ɦiːpɔbleːm dɑːlə tsiːn ʊŋgɑːn mɪt andərə mɛndʒə,iːrə pɛɾzøːnlɪçən pɾoːbleːmə taɪlən ziː nuːɾ ʊnɡɛɾn mɪt andərən mɛnʃən,Präsens,1
gilt,gɪlt,1,1,1-1,0,5,5,10,5,0.5,1.0,8.2687,0.012,40.8473,Ähnliches gilt bei den Sondererträgen.,ɛndlɪçt gɪlt biːdə zʊndɜ ɛɾtɾɛk,ɛːnlɪçəs ɡɪlt baɪ deːn zɔndeːrɜtɾɛːɡən,Präsens,1
gemacht,gmaxt,1,1,1-1,0,6,6,14,10,0.4286,0.6,7.0463,0.0419,40.5054,"Die Gemeinde besass das Vorkaufsrecht, welches geltend gemacht wurde.",gmaɪnt hɛɪts fɔːx aʊfzvɛçt pzɛsən vʊɐ zaʊ gɛldən gmaxt hɪnt,diː ɡəmaɪndə bəzas das foːɾkaʊfsrɛçt vɛlçəs ɡɛltənt ɡəmaxt vʊɐdə,Präteritum,1
beiden,baɪdə,1,1,1-1,0,6,6,16,9,0.375,0.6667,7.0056,0.0438,40.1914,Sie zeigen die beiden Entführten vor einem grossen schwarzen Banner sitzend.,ɛs tsaɪgɪ baɪdə ɛntfyːrə woːfɑːm neː goːsɪʃ vɑːtsə bɑːnə ziːtsət,ziː tsaɪɡən diː baɪdən ɛntfyːɾtən fɔɾ aɪnəm ɡɾɔsən ʃvaɾtsən banɜ zɪtsənt,Präsens,1
zeit,tsiːt,1,1,1-1,0,7,7,22,13,0.3182,0.5385,6.2381,0.0913,39.6786,War das in letzter Zeit anders?,ɪʃ ɑːsiːltʃtɔ tsiːt ɑːmkɔːʃ gsɪ,vɑːɾ das ɪn lɛtstɜ tsaɪt andɜs,Präteritum,1
des,fɔn,1,1,1-1,0,13,13,84,51,0.1548,0.2549,3.2263,0.0712,38.9564,Dabei beeinflussen nicht alle Veränderungen des Klimas die Migration gleich stark.,dɑːx hɛɾbə iːflaʊsət niːt aɪlɛvɔː ɛndɛɾɪgə fɔn kliməd miː gɾatsiːoːm gliːɾʃtɑːk,dɑːbaɪ bəaɪnflʊsən nɪçt alə fɛɾɛndərʊŋən dɛs kliːmɑːs diː mɪɡɾatsjoːn ɡlaɪç ʃtaɾk,Präsens,2
weg,vɛk,1,1,1-1,0,5,5,11,6,0.4545,0.8333,7.8681,0.0254,38.3415,Das fällt im Internet weg.,dɛɾ faltiː mɪntɔm ɛtə vɛk,das fɛlt ɪm ɪntɜnɛt vɛk,Präsens,1
zwei,tsvaɪ,1,1,1-1,0,8,8,40,19,0.2,0.4211,5.0207,0.0559,37.9197,Wir betreiben in Griechenland zwei Anlaufstellen nur für Frauen.,miːɾ bɪdɾiːbə diːn gɾiːrəkə lan tsvaɪ alɑːf stɛlən nuːɾ fyːɾfɾaʊə,viːɾ bətɾaɪbən ɪn ɡɾiːçənlant tsvaɪ anlaʊfʃtɛlən nuːɾ fyːɾ fraʊən,Präsens,1
beim,bɪm,1,1,1-1,0,6,6,26,7,0.2308,0.8571,6.6678,0.0546,37.8207,Dies ist beim Balänenweg der Fall.,ɑs ɪʃpɪm bɪm bɑl aɪnən vɛːktə fɑl,diːs ɪst baɪm balɛːnənveːk dɛɾ fal,Präsens,1
aarau,ɑːraʊ,1,1,1-1,0,5,5,15,5,0.3333,1.0,7.6837,0.0178,37.7359,"Und das wollen wir in Aarau nicht, auch nicht in der Zwischensaison.",ʊnt ʊntɑs vømeːrɪn ɑːraʊ nøːt ɑːnøːtɪtɪ tə tsvɪʃɛzəzɑːn,ʊnt das vɔlən viːɾ ɪn ɑːraʊ nɪçt aʊx nɪçt ɪn dɛɾ tsvɪʃənzaɪzoːn,Präsens,1
die beiden,baɪdə,2,1,2-1,1,5,5,7,9,0.7143,0.5556,7.9352,0.0541,37.5309,Sie zeigen die beiden Entführten vor einem grossen schwarzen Banner sitzend.,ɛs tsaɪgɪ baɪdə ɛntfyːrə woːfɑːm neː goːsɪʃ vɑːtsə bɑːnə ziːtsət,ziː tsaɪɡən diː baɪdən ɛntfyːɾtən fɔɾ aɪnəm ɡɾɔsən ʃvaɾtsən banɜ zɪtsənt,Präsens,1
schnell,ʃnɛl,1,1,1-1,0,5,5,11,6,0.4545,0.8333,7.8681,0.0492,37.4064,Die Feuerwehr habe den Brand schnell unter Kontrolle gebracht.,fyːɾvɪɾ heːbɪdə bɾaɪmd ʃnɛl ʊntɜ gɾʊntɾɔlə pɔxt,diː fɔøɜveːɾ hɑːbə deːn bɾant ʃnɛl ʊntɜ kɔntɾɔlə ɡəbɾaxt,Perfekt,1
prozent,pɔtsɛnt,1,1,1-1,0,6,6,33,7,0.1818,0.8571,6.3238,0.0374,36.5245,"Im kommenden Jahr soll sie weiter auf 6,4 Prozent sinken.",ɪm nɛgʃtə jɑː zʊt ziːn nɔmɪ ɔf zɛxt kɔm ɪn fiːɾ pɔtsɛnt zɪnkə,ɪm kɔməndən jɑːɾ zɔl ziː vaɪtɜ aʊf zɛks fiːɾ pɾoːtsɛnt zɪŋkən,Präsens,1
was,vas,1,1,1-1,0,6,6,32,8,0.1875,0.75,6.1755,0.0335,35.8128,Was muss man sich unter mobilen Bänken vorstellen?,vas muːɾs mɔz mɔz zɪç ʊntɛɾ mɔbiːlə bɛŋk fɔɾʃtɛlə,vas mʊs man zɪç ʊntɜ moːbiːlən bɛŋkən foːɾʃtɛlən,Präsens,1
nie,niːɾ,1,1,1-1,0,5,5,14,8,0.3571,0.625,7.1052,0.0444,33.9497,Aber er gab nie zweimal dasselbe Konzert.,ɛt hɛlt niːɾ tsvaɪmɪl sɛlbɪk kʊntsɛrt gɛl,ɑːbɜ ɛɾ ɡɑːp niː tsvaɪmɑːl daszɛlbə kɔntsɛɾt,Präteritum,1
schweiz,ʃviːts,1,1,1-1,0,5,5,20,5,0.25,1.0,7.2687,0.0722,33.7185,Bei Pro Bahn Schweiz kennt man das Problem.,biː pɾoːbɑːn ʃviːts kɾɛmə ɛnz pɾoːbleːmən,baɪ pɾoː bɑːn ʃvaɪts kɛnt man das pɾoːbleːm,Präsens,1
thema,teːmɑː,1,1,1-1,0,5,5,17,5,0.2941,1.0,7.5031,0.1017,33.7018,Auch innerhalb der SVP wurde über dieses Thema eingehend diskutiert.,aʊɪnə haɪdffə ɛsəpɪt iʃ ybɛdɛs teːmɑː iːgɛn gɛndldɪs kʊdiːət vɔːdə,aʊx ɪnɜhalp dɛɾ ɛsfaʊpeː vʊɐdə yːbɜ diːzəs teːmɑː aɪnɡeːənt dɪskuːtiːɾt,Präteritum,1
bis,bɪs,1,1,1-1,0,6,6,32,11,0.1875,0.5455,5.7161,0.0447,32.7621,Erhöhungsanträgen stehen wir grundsätzlich sehr kritisch bis ablehnend gegenüber.,ɛɾhøːlɪks aɾtɾaɪgɛstəlm viːɾ aɾ gɾʊntsətsəx zɛɾ kɾɪktɪç bɪs apleːnɪŋ gɛlgəneːbɜ,ɛɾhøːʊŋsantɾɛːɡən ʃteːən viːɾ ɡɾʊndzɛtslɪç zeːɾ kɾiːtɪʃ bɪs apleːnənt ɡeːɡənyːbɜ,Präsens,1
er ist,ɛr,2,1,2-1,1,4,4,7,4,0.5714,1.0,8.7832,0.0783,32.381,"Er ist verheiratet, hat drei erwachsene Kinder und zwei Enkel.",ɛr ɪʃ kʊvyːrɑːtət heːt dɾaɪɛɾ vaxzɪnə kɪnd ʊnt tsvaɪ ɛnkəl,ɛɾ ɪst fɛɾhaɪrɑːtət hat dɾaɪ ɛɾvaxzənə kɪndɜ ʊnt tsvaɪ ɛnkəl,Präsens,1
viele,fiːl,1,1,1-1,0,6,6,22,18,0.2727,0.3333,5.5462,0.0317,32.2207,Viele Neuzuzüger lassen daher die Finger davon.,fiːl nɔø tsuː eːtyːkɔːl lœn dɾʊm fɪŋɔːdə foː,fiːlə nɔøtsuːtsyːɡɜ lasən dɑːhɛɾ diː fɪŋɜ dɑːfɔn,Präsens,1
haben wir,hɛm,2,1,2-1,1,5,5,18,8,0.2778,0.625,6.7426,0.0555,31.8428,"Deshalb haben wir uns ja bereits entschieden, ein solches Alterszentrum zu bauen.",dɑːrʊŋ hɛm miːryːsaʊ bəraɪts ɛntʃiːdə eːzøːtɪks altʊs tsɛnt dʊmt tsvaʊən,dɛshalp hɑːbən viːɾ ʊns jɑː bəraɪts ɛntʃiːdən aɪn zɔlçəs altɜstsɛntɾʊm tsuː baʊən,Präsens,1
mehr als,meː als,2,2,2-2,1,4,4,10,4,0.4,1.0,8.2687,0.0614,31.0451,Jedes Jahr reisen mehr als 35 Millionen Touristen nach Thailand.,jeːdəs jɑːɾ als meː als fœfətɾɪsk mɪliːɔːnə duː viːɾʃtə ɔftɛɪlɛnt,jeːdəs jɑːɾ raɪzən meːɾ als fʏnf ʊntdɾaɪsɪç mɪljoːnən tuːrɪstən nɑːx taɪlant,Präsens,1
