id,Hochdeutsch,IPA_Dialekt,method_greedy,method_positional,method_ibm,greedy_hits,greedy_pmi,greedy_rate,positional_count,ibm_prob,ibm_expected_count,ibm_sentence_support,method_count,methods,example_type,example_sentence,example_ipa_audio,example_ipa_reference,example_tense,correct,comment
35,nur,nuːɾ,1,1,1,11.0,5.2203,0.1571,5.0,0.712759,10.9791,11.0,3,"greedy, positional, ibm",hd+ipa,Dagegen spricht nicht nur die lange Tradition der US-Autoindustrie.,dɛɾ gɛgɛɾ ʃpɪçmə nuːɾ diː laŋt dɑdɪtsoːn foːɾ dɛɾ uːɾs alpɪtɾoː ɪnduːɾstɾiː,daɡeːɡən ʃpɾɪçt nɪçt nuːɾ diː laŋə tɾɑdiːtsjoːn dɛɾ uːɛsaʊtoːɪndʊstɾiː,Präsens,1,
36,alles,ɑːləs,1,1,1,10.0,6.4207,0.2778,5.0,0.596578,9.8924,10.0,3,"greedy, positional, ibm",hd+ipa,Und was darf das alles kosten?,uːnd vɑːs dɛɾ ɔf dɑːs ɑːləs xaʊʃtə,ʊnt vas daɾf das aləs kɔstən,Präsens,1,
37,viel,fiːl,1,1,1,9.0,5.6837,0.3,5.0,0.58671,8.6089,9.0,3,"greedy, positional, ibm",hd+ipa,So viel weiter sind wir inzwischen nicht gekommen.,soː fiːl viːtɛɾ siːm maɪn tsuːiːʃɛ nɔnɪkɾoː,zoː fiːl vaɪtɜ zɪnt viːɾ ɪntsvɪʃən nɪçt ɡəkɔmən,Perfekt,1,
38,uns,yːs,1,1,1,9.0,5.6057,0.1579,3.0,0.44761,8.9185,9.0,3,"greedy, positional, ibm",hd+ipa,Immer der Spielverderber zu sein macht auch uns keinen Spass.,ɪmɛɾ dɛɾ ʃpɪl fɔr deːɾ pʊtsiː maxt yːs kaɪ ʃpas,ɪmɜ dɛɾ ʃpiːlfɜdɜbɜ tsuː zaɪn maxt aʊx ʊns kaɪnən ʃpas,Präsens,1,
39,mich,mɪç,1,1,1,9.0,5.5269,0.2093,2.0,0.544522,8.9947,9.0,3,"greedy, positional, ibm",hd+ipa,In der Schweiz gibt es für mich trotzdem auch einen König.,aɪ dɛɾ ʃviːtskiːts fyːɾ mɪç trɔts dɛm aʊən kœnɪç,ɪn dɛɾ ʃvaɪts ɡiːpt ɛs fyːɾ mɪç tɾɔtsdeːm aʊx aɪnən køːnɪç,Präsens,1,
40,andere,andərə,1,1,1,8.0,5.6747,0.3478,4.0,0.704431,7.9429,8.0,3,"greedy, positional, ibm",hd+ipa,Natürlich kann man Gas als nicht so schlimm wie andere Energieträger ansehen.,nɑktɪɔːliːk kɑmə gɑːs als nit zoː ʃlim biː andərə ɪnɑːkiːtɾɛːkɑː ɑːlwɑːkɑ,nɑːtyːɾlɪç kan man ɡɑːs als nɪçt zoː ʃlɪm viː andərə eːnɛɾɡiːtɾɛːɡɜ anzeːən,Präsens,1,
41,zwei,tsvaɪ,1,1,1,8.0,5.0207,0.2,2.0,0.890005,7.9927,8.0,3,"greedy, positional, ibm",hd+ipa,Wir betreiben in Griechenland zwei Anlaufstellen nur für Frauen.,miːɾ bɪdɾiːbə diːn gɾiːrəkə lan tsvaɪ alɑːf stɛlən nuːɾ fyːɾfɾaʊə,viːɾ bətɾaɪbən ɪn ɡɾiːçənlant tsvaɪ anlaʊfʃtɛlən nuːɾ fyːɾ fraʊən,Präsens,1,
42,zeit,tsiːt,1,1,1,7.0,6.2381,0.3182,5.0,0.563524,6.9078,7.0,3,"greedy, positional, ibm",hd+ipa,War das in letzter Zeit anders?,ɪʃ ɑːsiːltʃtɔ tsiːt ɑːmkɔːʃ gsɪ,vɑːɾ das ɪn lɛtstɜ tsaɪt andɜs,Präteritum,1,
43,vor,fɔɾ,1,1,1,7.0,2.5462,0.1061,4.0,0.487325,6.0209,7.0,3,"greedy, positional, ibm",hd+ipa,Der russische Ministerpräsident Wladimir Putin warnte vor einer Intervention von aussen.,ɪtə rʊsɪʃ miːnɪʃtɑːpɛɪsɪdɛnt vlɑːtɪ miːɾ bʊdɪn hɛdfɔrɑː ɪntɛɾɪntsɪːoːn fɔɾ ʊsəkwaɾnt,dɛɾ rʊsɪʃə miːnɪstɜpɾɛːziːdɛnt vlɑdiːmiːɾ puːtɪn vaɾntə fɔɾ aɪnɜ ɪntɜvəntsjoːn fɔn aʊsən,Präsens,1,
44,anderen,andərə,1,1,1,7.0,6.6975,0.4375,2.0,0.920698,6.9999,7.0,3,"greedy, positional, ibm",hd+ipa,Ihre persönlichen Probleme teilen sie nur ungern mit anderen Menschen.,iːøːpəzøːnɪç ɦiːpɔbleːm dɑːlə tsiːn ʊŋgɑːn mɪt andərə mɛndʒə,iːrə pɛɾzøːnlɪçən pɾoːbleːmə taɪlən ziː nuːɾ ʊnɡɛɾn mɪt andərən mɛnʃən,Präsens,1,
45,macht,maxt,1,1,1,7.0,6.3427,0.3684,2.0,0.712611,6.9472,7.0,3,"greedy, positional, ibm",hd+ipa,Die heutige Technik macht vieles möglich.,deːhyːddɪk tɛxnɪk maxt fiːləs møːgəlɪç,diː hɔøtɪɡə tɛçnɪk maxt fiːləs møːklɪç,Präsens,1,
46,viele,fiːl,1,1,1,6.0,6.5462,0.2727,5.0,0.598066,6.2949,6.0,3,"greedy, positional, ibm",hd+ipa,Es gibt viel Spielraum für viele mögliche Interpretationen.,ɛs giːt fiːl ʃpiːlərʊm fyːɾ fiːlɪ mœglɪçiː ɪntɛpɾɛtatsɪɔnɛ,ɛs ɡiːpt fiːl ʃpiːlraʊm fyːɾ fiːlə møːklɪçə ɪntɜpɾeːtatsjoːnən,Präsens,1,
47,immer,ɪm,1,1,1,6.0,3.7243,0.1714,4.0,0.635464,6.1685,6.0,3,"greedy, positional, ibm",hd+ipa,"Ich äussere mich dazu, weil die Befangenheitsdiskussion immer wieder ein Argument ist.",ɪç øsəɾ mɪçtə tswɛl vɪlt bəfɑːŋəhaɪts diːs kɔsɪʊn ɪm ɛviːdɛɾ ɛs ɑːgʊmɛntɪʃ,ɪç ɔøsərə mɪç dɑːtsuː vaɪl diː bəfaŋənhaɪtsdɪskʊsjoːn ɪmɜ viːdɜ aɪn aɾɡuːmɛnt ɪst,Präsens,?,
48,was,vas,1,1,1,6.0,6.1755,0.1875,4.0,0.327069,5.7487,6.0,3,"greedy, positional, ibm",hd+ipa,Was muss man sich unter mobilen Bänken vorstellen?,vas muːɾs mɔz mɔz zɪç ʊntɛɾ mɔbiːlə bɛŋk fɔɾʃtɛlə,vas mʊs man zɪç ʊntɜ moːbiːlən bɛŋkən foːɾʃtɛlən,Präsens,1,
49,beiden,baɪdə,1,1,1,6.0,7.0056,0.375,3.0,0.678714,5.5143,6.0,3,"greedy, positional, ibm",hd+ipa,Sie zeigen die beiden Entführten vor einem grossen schwarzen Banner sitzend.,ɛs tsaɪgɪ baɪdə ɛntfyːrə woːfɑːm neː goːsɪʃ vɑːtsə bɑːnə ziːtsət,ziː tsaɪɡən diː baɪdən ɛntfyːɾtən fɔɾ aɪnəm ɡɾɔsən ʃvaɾtsən banɜ zɪtsənt,Präsens,1,
50,bis,bɪs,1,1,1,6.0,5.7161,0.1875,3.0,0.702082,5.9987,6.0,3,"greedy, positional, ibm",hd+ipa,Erhöhungsanträgen stehen wir grundsätzlich sehr kritisch bis ablehnend gegenüber.,ɛɾhøːlɪks aɾtɾaɪgɛstəlm viːɾ aɾ gɾʊntsətsəx zɛɾ kɾɪktɪç bɪs apleːnɪŋ gɛlgəneːbɜ,ɛɾhøːʊŋsantɾɛːɡən ʃteːən viːɾ ɡɾʊndzɛtslɪç zeːɾ kɾiːtɪʃ bɪs apleːnənt ɡeːɡənyːbɜ,Präsens,1,
51,geschäft,gʃɛft,1,1,1,6.0,7.6837,0.6,2.0,0.752029,6.2838,6.0,3,"greedy, positional, ibm",hd+ipa,Wir haben dieses Geschäft am 13. März 2018 in der FGPK behandelt.,miːɾ hɛnt dɛs gʃɛft ɑːm dɾiːtzɛtə mɛɾts tsvaɪ axtsɛn iːdɛnfgɛːpɛːkɛɾ bəhandlɛt,viːɾ hɑːbən diːzəs ɡəʃɛft am dɾaɪtseːn mɛɾts tsvaɪ taʊzənt axtseːn ɪn dɛɾ ɛfɡeːpeːkɑː bəhandəlt,Perfekt,1,
52,gilt,gɪlt,1,1,1,5.0,8.2687,0.5,3.0,0.661398,4.9992,5.0,3,"greedy, positional, ibm",hd+ipa,Ähnliches gilt bei den Sondererträgen.,ɛndlɪçt gɪlt biːdə zʊndɜ ɛɾtɾɛk,ɛːnlɪçəs ɡɪlt baɪ deːn zɔndeːrɜtɾɛːɡən,Präsens,1,
53,neue,nɔø,1,1,1,5.0,5.804,0.2174,3.0,0.516091,4.6247,5.0,3,"greedy, positional, ibm",hd+ipa,Welche aufregenden Möglichkeiten eröffnen neue Technologien?,vɪl juːvɾɛgənə mɪgəlgɾaɪtə rɛftə nɔø tɛxŋoːlɔgiːɛ,vɛlçə aʊfreːɡəndən mœklɪçkaɪtən ɛɾœfnən nɔøə tɛçnoːloːɡiːən,Präsens,1,
54,heute,hyːd,1,1,1,5.0,6.233,0.122,2.0,0.297375,4.1382,5.0,3,"greedy, positional, ibm",hd+ipa,Aus diesen Gründen werden wir heute dem Rückweisungsantrag mehrheitlich zustimmen.,aʊs dɛnən gɾønd vɛɾdən miːɾ hyːd ɪn ryːtvɪsɪksaːbdɾɑːg meːɾhaɪtlɪç tsuːl ʃtimən,aʊs diːzən ɡɾʏndən vɛɾdən viːɾ hɔøtə deːm rʏkvaɪzʊŋsantɾɑːk meːɾhaɪtlɪç tsuːʃtɪmən,Futur,1,
55,thema,teːmɑː,1,1,1,5.0,7.5031,0.2941,2.0,0.518205,4.7899,5.0,3,"greedy, positional, ibm",hd+ipa,Auch innerhalb der SVP wurde über dieses Thema eingehend diskutiert.,aʊɪnə haɪdffə ɛsəpɪt iʃ ybɛdɛs teːmɑː iːgɛn gɛndldɪs kʊdiːət vɔːdə,aʊx ɪnɜhalp dɛɾ ɛsfaʊpeː vʊɐdə yːbɜ diːzəs teːmɑː aɪnɡeːənt dɪskuːtiːɾt,Präteritum,1,
56,vier,fiːɾ,1,1,1,5.0,5.9937,0.4545,2.0,0.662725,5.8874,5.0,3,"greedy, positional, ibm",hd+ipa,Von den letzten vier Grand-Slam-Finals hat Federer nun drei verloren.,fɔr dɛɾ ɪtʃtə fiːɾ bɾɛnslɛnfaɪnəlz hɛt feːdɾɔː nʊmə dɾyːfəlɔɾə,fɔn deːn lɛtstən fiːɾ ɡɾantslɑːmfiːnɑːls hat feːdərɜ nuːn dɾaɪ fɛɾloːrən,Präteritum,1,
57,zur,tsuː,1,1,1,5.0,4.3015,0.1471,2.0,0.653169,4.9919,5.0,3,"greedy, positional, ibm",hd+ipa,Die Vernehmlassung zur Umsetzung des KiBeG wird voraussichtlich im Mai durchgeführt.,tɛnɛmla sɪç tsuː ʊmsɛtsɪk fɔn kɑːr ɪbeːgeːvɪɑː fɔrʊsɛçlɪç ɪm maːɪ dʊrətsɛɾt,diː fɛɾneːmlasʊŋ tsuːɾ ʊmzɛtsʊŋ dɛs kiː beː ɡeː vɪɾt foːraʊszɪçtlɪç ɪm maɪ dʊɐçɡəfyːɾt,Futur,1,
58,seit,ziː,1,1,1,4.0,4.0828,0.1429,4.0,0.436245,4.8178,5.0,3,"greedy, positional, ibm",hd+ipa,Thailand hat sich verändert seit dem letzten Besuch vor sechs Jahren.,taɪlənt hɪt zɪç ziː dʊm leːtʃtə psuːrfɔ zɛːg ziːɾ ɑːfərɛndərət,taɪlant hat zɪç fɛɾɛndɜt zaɪt deːm lɛtstən bəzuːx fɔɾ zɛks jɑːrən,Präsens,1,
59,gibt,giːt,1,1,1,4.0,6.2243,0.1212,4.0,0.249717,3.4077,4.0,3,"greedy, positional, ibm",hd+ipa,Es gibt jedoch keinen Grund mit der Umsetzung dringender Massnahmen zuzuwarten.,ɛs giːt jeːdaʊx kaɪn gʊnt miː deːm ʊmsɛtsɪç fɔrdɾɪŋənə mɑːsnɑːmə tsʊːrɛts vɑːɾtə,ɛs ɡiːpt jeːdɔx kaɪnən ɡɾʊnt mɪt dɛɾ ʊmzɛtsʊŋ dɾɪŋəndɜ masnɑːmən tsuːtsuːvaɾtən,Präsens,1,
60,liegt,liːt,1,1,1,4.0,7.0056,0.25,4.0,0.349824,3.8617,4.0,3,"greedy, positional, ibm",hd+ipa,Das Jahresprogramm liegt auf.,siɔvɛs pɔkɾɑːm liːt uːf,das jɑːrɛʃpɾɔɡɾam liːkt aʊf,Präsens,1,
61,möchte,mɛçt,1,1,1,4.0,6.6837,0.1667,4.0,0.308177,3.9422,4.0,3,"greedy, positional, ibm",hd+ipa,Gerne möchte ich aber zu Grundsätzlichem kommen.,gɛɾdən mɛçt diː aːbɛrtsuː gɾʊnt tsɛtslɪç ɪmkɔːx,ɡɛɾnə mœçtə ɪç ɑːbɜ tsuː ɡɾʊndzɛtslɪçəm kɔmən,Präsens,1,
